Paper title,Citing paper title
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Automated data processing and feature engineering for deep learning and big data applications: a survey
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Interactive hyperparameter optimization in multi-objective problems via preference learning
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Data preprocessing using AutoML: A survey
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Machine Learning-Based Modelling in Atomic Layer Deposition Processes
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Autoclues: Exploring clustering pipelines via automl and diversification
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Automated machine learning for residential property valuation
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,HAMLET4Fairness: Enhancing Fairness in AI Pipelines Through Human-Centered AutoML and Argumentation
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Structuring Data Science Automation: A Competency-Aware Taxonomy Approach
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Reproducible automl: An assessment of research reproducibility of no-code automl tools
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,CA-HIL: A Competency-Aware Framework for Bridging Automation and Human Expertise in Data Science Projects
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Automated AI Model Development: a Systematic Literature Review
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Comprehensive Analysis of Automl Techniques for Data-Driven Decision Making
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Develop an Automated Machine Learning Platform for Residential Property Valuation
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,5 Navigating the landscape of automated data preprocessing: an in-depth review of automated machine learning platforms
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Parents' decisions to vaccinate children against COVID-19: A scoping review
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Multi-perspectives systematic review on the applications of sentiment analysis for vaccine hesitancy
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",COVID-19 fake news diffusion across Latin America
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Understanding public perceptions of COVID-19 contact tracing apps: Artificial intelligence–enabled social media analysis
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",# Antivaccination on Instagram: A computational analysis of hashtag activism through photos and public responses
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Conceptualizing analytics: an overview of business intelligence and analytics from a conceptual-modeling perspective
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Free choice in the making: Vaccine-related activism as an alternative form of citizenship during the Covid-19 pandemic
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Optimal methodology for addressing the social impact component within project proposals and curriculum vitae
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Respecifying fieldwork: Refused knowledge communities explored through the reflexive lens
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Detecting anti-vaccine users on Twitter
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Parents' decisions to vaccinate children against COVID-19: a scoping review. Vaccines 2021; 9: 1476
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy","Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",HABILITATION À DIRIGER DES RECHERCHES
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Summarization and visualization of multi-level and multi-dimensional itemsets,A survey and experimental study on privacy-preserving trajectory data publishing
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
Summarization and visualization of multi-level and multi-dimensional itemsets,COOL: A framework for conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Mining the colossal patterns using ISSA based KMC with VGHHO clustering model for high dimensional data
Summarization and visualization of multi-level and multi-dimensional itemsets,SeRViz: a visual analytics system for the analysis of sequential rules and its application to airport ground handling operations: A. Jalilvand et al.
Summarization and visualization of multi-level and multi-dimensional itemsets,Personalization of OLAP queries for hierarchical visualization under constraints
Summarization and visualization of multi-level and multi-dimensional itemsets,Multidimensional heterogeneous medical data push in intelligent cloud collaborative management system
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
Summarization and visualization of multi-level and multi-dimensional itemsets,Study of effective mining algorithms for frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,SeRViz: an interactive visualization framework for the analysis of sequential rules and frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,Conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Summarization and visualization of multi-level and multi-dimensional itemsets,A study on privacy protection techniques for spatiotemporal data
Supporting the Generation of Data Narratives,Fabula: Intelligence report generation using retrieval-augmented narrative construction
Supporting the Generation of Data Narratives,Computational understanding of narratives: A survey
Supporting the Generation of Data Narratives,Enhancing cubes with models to describe multidimensional data
Supporting the Generation of Data Narratives,On the design of an interactive automatic Python programming skills assessment system
Supporting the Generation of Data Narratives,Computational narratives using model-driven engineering
Supporting the Generation of Data Narratives,A data narrative about tuberculosis pandemic in Gabon.
Supporting the Generation of Data Narratives,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Supporting the Generation of Data Narratives,HABILITATION À DIRIGER DES RECHERCHES
Supporting the Generation of Data Narratives,A framework for crafting data narratives
Supporting the Generation of Data Narratives,Un modèle conceptual de narration de données
Supporting the Generation of Data Narratives,Modéliser la démarche du data journaliste
Supporting the Generation of Data Narratives,Modéliser la démarche du data journaliste
Supporting the Generation of Data Narratives,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Cost-based optimization of multistore query plans,Database management system performance comparisons: A systematic literature review
Cost-based optimization of multistore query plans,"A survey on database systems in the big data era: Architectures, performance, and open challenges"
Cost-based optimization of multistore query plans,Optimizing Data Integration Processes with the Support of Machine Learning-Is it Really Possible?
Cost-based optimization of multistore query plans,On reasoning about black-box UDFs by classifying their performance characteristics
Cost-based optimization of multistore query plans,DORM: Dynamic Object-Relational Mapping
Cost-based optimization of multistore query plans,Federated AI-Driven Query Optimization for Distributed Cloud Databases
Cost-based optimization of multistore query plans,Research on storage and query optimization algorithm of distributed database for big data
