Cited paper title;Cited paper eid;Citing paper title;Citing paper eid;Cited paper link;Citing paper link
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;A privacy-aware visual query approach for location-based data;2-s2.0-85165625550;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85165625550&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Automatic Evaluation of Disclosure Risks of Text Anonymization Methods;2-s2.0-85138789888;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85138789888&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Federated Learning and Privacy, Challenges, Threat and Attack Models, and Analysis;2-s2.0-85199107660;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85199107660&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;LDPTrace: Locally Differentially Private Trajectory Synthesis;2-s2.0-85153584578;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85153584578&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Privacy-preserving data fusion for traffic state estimation: A vertical federated learning approach;2-s2.0-85198331761;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85198331761&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Privacy-preserving generation and publication of synthetic trajectory microdata: A comprehensive survey;2-s2.0-85198274262;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85198274262&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Reciprocal Bucketization (RB) - An Efficient Data Anonymization Model for Smart Hospital Data Publishing;2-s2.0-85185324120;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85185324120&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Synthetic Trajectory Generation Through Convolutional Neural Networks;2-s2.0-85216596580;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85216596580&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Traj-MergeGAN: A Trajectory Privacy Preservation Model Based on Generative Adversarial Network;2-s2.0-85200725487;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85200725487&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing;2-s2.0-85132525373;Trajectory privacy protection method with smart contract-based query exchange in the Social Internet of Vehicles;2-s2.0-85190066347;https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85190066347&origin=resultslist
COOL: A framework for conversational OLAP;2-s2.0-85103428030;Optimal Stacked Sparse Auto-encoder based Online Analytic Processing (OLAP) Hypercube Text Analysis;2-s2.0-85166634616;https://www.scopus.com/record/display.uri?eid=2-s2.0-85103428030&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85166634616&origin=resultslist
COOL: A framework for conversational OLAP;2-s2.0-85103428030;VOOL: A modular insight-based framework for vocalizing OLAP sessions;2-s2.0-85211035819;https://www.scopus.com/record/display.uri?eid=2-s2.0-85103428030&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85211035819&origin=resultslist
Cost-based Optimization of Multistore Query Plans;2-s2.0-85139405955;Database management system performance comparisons: A systematic literature review;2-s2.0-85177177518;https://www.scopus.com/record/display.uri?eid=2-s2.0-85139405955&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85177177518&origin=resultslist
Cost-based Optimization of Multistore Query Plans;2-s2.0-85139405955;On the Optimization of Query Plans in Multistores (Discussion Paper);2-s2.0-85173485992;https://www.scopus.com/record/display.uri?eid=2-s2.0-85139405955&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85173485992&origin=resultslist
Crop Management with the IoT: An Interdisciplinary Survey;2-s2.0-85100942957;Internet of Things (IoT) in Soil Management for Achieving Smart Agriculture;2-s2.0-85181548023;https://www.scopus.com/record/display.uri?eid=2-s2.0-85100942957&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85181548023&origin=resultslist
Crop Management with the IoT: An Interdisciplinary Survey;2-s2.0-85100942957;Measurement of surface respiration: An IoT approach;2-s2.0-85211961722;https://www.scopus.com/record/display.uri?eid=2-s2.0-85100942957&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85211961722&origin=resultslist
Enhancing Cubes with Models to Describe Multidimensional Data;2-s2.0-85107683405;Data Cube Technology for Accessing of Large Database;2-s2.0-85186675157;https://www.scopus.com/record/display.uri?eid=2-s2.0-85107683405&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85186675157&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking;2-s2.0-85096846619;Trajectory-User Linking via Hierarchical Spatio-Temporal Attention Networks;2-s2.0-85185704029;https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist;https://www.scopus.com/record/display.uri?eid=2-s2.0-85185704029&origin=resultslist
